y,x,radius
204.0,0.0,6.0
235.0,0.0,6.0
248.0,0.0,5.555555555555555
89.0,0.0,6.0
0.0,453.0,5.555555555555555
0.0,65.0,4.666666666666666
0.0,392.0,6.0
97.0,357.0,5.111111111111111
0.0,110.0,4.666666666666666
0.0,376.0,4.666666666666666
65.0,282.0,4.666666666666666
43.0,303.0,4.666666666666666
0.0,412.0,4.666666666666666
87.0,217.0,5.111111111111111
0.0,311.0,2.4444444444444446
0.0,0.0,3.7777777777777777
47.0,0.0,4.222222222222222
280.0,0.0,3.7777777777777777
0.0,213.0,3.7777777777777777
66.0,0.0,5.555555555555555
0.0,53.0,3.333333333333333
153.0,0.0,5.111111111111111
260.0,334.0,5.555555555555555
224.0,181.0,5.111111111111111
0.0,252.0,2.0
142.0,0.0,3.333333333333333
311.0,0.0,2.888888888888889
0.0,96.0,3.7777777777777777
33.0,465.0,5.555555555555555
86.0,263.0,5.111111111111111
55.0,172.0,5.555555555555555
316.0,120.0,5.555555555555555
100.0,80.0,4.222222222222222
69.0,237.0,4.666666666666666
74.0,429.0,6.0
277.0,406.0,6.0
99.0,296.0,5.111111111111111
0.0,139.0,4.666666666666666
114.0,0.0,5.111111111111111
27.0,213.0,4.666666666666666
165.0,312.0,4.666666666666666
125.0,288.0,5.111111111111111
0.0,263.0,2.888888888888889
139.0,427.0,5.111111111111111
164.0,426.0,4.666666666666666
299.0,293.0,5.111111111111111
154.0,92.0,4.666666666666666
102.0,105.0,4.666666666666666
202.0,201.0,5.111111111111111
177.0,383.0,5.111111111111111
0.0,326.0,5.111111111111111
0.0,283.0,2.4444444444444446
191.0,441.0,5.111111111111111
320.0,395.0,5.555555555555555
0.0,131.0,2.4444444444444446
227.0,465.0,4.222222222222222
25.0,164.0,5.111111111111111
67.0,23.0,4.222222222222222
185.0,413.0,4.666666666666666
0.0,170.0,3.7777777777777777
293.0,0.0,6.0
0.0,293.0,2.888888888888889
111.0,438.0,4.666666666666666
39.0,14.0,4.222222222222222
201.0,345.0,5.555555555555555
205.0,370.0,4.666666666666666
21.0,15.0,4.666666666666666
170.0,454.0,4.666666666666666
203.0,228.0,5.111111111111111
53.0,258.0,5.111111111111111
0.0,353.0,3.7777777777777777
0.0,17.0,2.4444444444444446
120.0,465.0,5.111111111111111
100.0,239.0,4.666666666666666
51.0,327.0,5.111111111111111
247.0,451.0,5.111111111111111
44.0,43.0,5.111111111111111
97.0,27.0,5.555555555555555
0.0,436.0,3.333333333333333
212.0,395.0,5.111111111111111
127.0,212.0,5.111111111111111
129.0,0.0,2.0
67.0,333.0,4.222222222222222
141.0,117.0,4.666666666666666
63.0,404.0,4.666666666666666
16.0,88.0,4.666666666666666
157.0,289.0,5.111111111111111
25.0,393.0,5.111111111111111
309.0,186.0,5.555555555555555
265.0,21.0,4.222222222222222
0.0,81.0,2.0
337.0,114.0,6.0
28.0,0.0,2.0
98.0,323.0,5.111111111111111
208.0,136.0,4.666666666666666
177.0,0.0,4.666666666666666
337.0,225.0,6.0
321.0,276.0,5.111111111111111
39.0,236.0,4.222222222222222
115.0,163.0,4.666666666666666
189.0,133.0,5.111111111111111
19.0,133.0,5.111111111111111
15.0,43.0,4.666666666666666
312.0,213.0,5.111111111111111
32.0,347.0,4.666666666666666
320.0,86.0,5.555555555555555
70.0,193.0,4.666666666666666
325.0,286.0,6.0
201.0,36.0,5.111111111111111
50.0,130.0,5.111111111111111
316.0,39.0,5.555555555555555
159.0,403.0,4.666666666666666
113.0,382.0,4.666666666666666
293.0,215.0,4.666666666666666
81.0,383.0,4.666666666666666
99.0,403.0,5.111111111111111
243.0,303.0,5.111111111111111
73.0,44.0,5.111111111111111
138.0,314.0,5.111111111111111
14.0,295.0,4.666666666666666
128.0,238.0,4.222222222222222
11.0,0.0,3.333333333333333
266.0,374.0,4.222222222222222
293.0,367.0,6.0
333.0,254.0,6.0
114.0,261.0,4.666666666666666
129.0,77.0,4.666666666666666
275.0,292.0,5.555555555555555
91.0,139.0,5.555555555555555
286.0,359.0,6.0
119.0,335.0,5.111111111111111
337.0,0.0,2.0
169.0,218.0,4.666666666666666
38.0,280.0,4.666666666666666
23.0,321.0,4.222222222222222
93.0,456.0,5.111111111111111
337.0,197.0,6.0
79.0,370.0,4.666666666666666
165.0,0.0,2.0
50.0,381.0,5.555555555555555
227.0,210.0,4.666666666666666
184.0,296.0,4.666666666666666
282.0,263.0,5.111111111111111
132.0,171.0,5.111111111111111
221.0,442.0,4.666666666666666
158.0,354.0,4.666666666666666
309.0,240.0,5.111111111111111
211.0,151.0,4.222222222222222
180.0,84.0,5.111111111111111
170.0,109.0,4.666666666666666
244.0,76.0,5.111111111111111
240.0,401.0,4.666666666666666
115.0,67.0,4.222222222222222
47.0,414.0,4.666666666666666
105.0,187.0,5.111111111111111
278.0,332.0,4.222222222222222
129.0,142.0,4.666666666666666
74.0,93.0,5.111111111111111
228.0,347.0,4.666666666666666
214.0,300.0,5.555555555555555
59.0,66.0,5.111111111111111
160.0,133.0,4.666666666666666
232.0,99.0,3.7777777777777777
202.0,465.0,4.666666666666666
258.0,352.0,4.666666666666666
187.0,271.0,4.666666666666666
289.0,74.0,5.111111111111111
311.0,424.0,5.555555555555555
278.0,177.0,5.111111111111111
0.0,35.0,2.0
52.0,366.0,5.111111111111111
172.0,68.0,4.666666666666666
283.0,44.0,5.111111111111111
147.0,162.0,5.111111111111111
146.0,269.0,4.222222222222222
275.0,307.0,4.666666666666666
146.0,217.0,5.111111111111111
271.0,432.0,5.111111111111111
43.0,88.0,4.666666666666666
200.0,92.0,5.555555555555555
11.0,194.0,3.7777777777777777
234.0,373.0,4.666666666666666
241.0,280.0,4.666666666666666
11.0,238.0,3.7777777777777777
127.0,343.0,5.111111111111111
182.0,231.0,5.111111111111111
204.0,328.0,5.111111111111111
194.0,283.0,5.111111111111111
175.0,152.0,4.666666666666666
314.0,250.0,5.111111111111111
181.0,198.0,5.111111111111111
255.0,170.0,6.0
67.0,151.0,4.222222222222222
337.0,324.0,6.0
194.0,318.0,5.555555555555555
194.0,164.0,5.555555555555555
127.0,93.0,5.111111111111111
143.0,368.0,5.111111111111111
264.0,245.0,4.222222222222222
56.0,213.0,6.0
311.0,452.0,4.666666666666666
20.0,434.0,4.666666666666666
204.0,262.0,4.222222222222222
259.0,146.0,5.555555555555555
264.0,93.0,4.222222222222222
40.0,449.0,4.666666666666666
315.0,26.0,5.111111111111111
227.0,236.0,5.111111111111111
172.0,18.0,4.666666666666666
103.0,136.0,5.555555555555555
116.0,424.0,4.666666666666666
175.0,357.0,4.666666666666666
239.0,59.0,4.666666666666666
45.0,73.0,4.666666666666666
78.0,297.0,5.111111111111111
143.0,450.0,4.666666666666666
315.0,172.0,5.111111111111111
268.0,270.0,4.222222222222222
225.0,273.0,5.111111111111111
316.0,147.0,4.666666666666666
47.0,116.0,5.555555555555555
0.0,150.0,2.0
17.0,118.0,4.666666666666666
130.0,48.0,4.666666666666666
19.0,419.0,4.666666666666666
83.0,154.0,4.666666666666666
233.0,331.0,4.222222222222222
86.0,169.0,5.555555555555555
84.0,57.0,4.666666666666666
192.0,398.0,4.222222222222222
78.0,128.0,5.555555555555555
94.0,439.0,4.222222222222222
256.0,220.0,5.111111111111111
155.0,42.0,5.111111111111111
67.0,220.0,4.222222222222222
146.0,383.0,4.666666666666666
114.0,245.0,3.7777777777777777
240.0,355.0,4.222222222222222
289.0,162.0,5.111111111111111
253.0,193.0,5.555555555555555
218.0,106.0,4.222222222222222
46.0,427.0,5.111111111111111
144.0,58.0,4.222222222222222
225.0,42.0,4.222222222222222
15.0,71.0,4.222222222222222
43.0,195.0,5.111111111111111
177.0,465.0,5.111111111111111
293.0,240.0,4.222222222222222
216.0,79.0,5.111111111111111
69.0,307.0,4.666666666666666
223.0,124.0,4.222222222222222
148.0,320.0,4.222222222222222
313.0,368.0,5.111111111111111
101.0,0.0,2.0
248.0,382.0,4.666666666666666
180.0,242.0,5.555555555555555
193.0,174.0,6.0
243.0,424.0,5.555555555555555
61.0,104.0,6.0
212.0,290.0,5.111111111111111
84.0,247.0,4.666666666666666
256.0,50.0,4.666666666666666
66.0,134.0,4.222222222222222
165.0,176.0,5.555555555555555
252.0,34.0,5.111111111111111
218.0,420.0,5.555555555555555
201.0,59.0,6.0
200.0,249.0,5.111111111111111
320.0,68.0,5.111111111111111
289.0,90.0,4.222222222222222
115.0,415.0,5.111111111111111
301.0,268.0,5.555555555555555
306.0,63.0,5.111111111111111
337.0,162.0,6.0
67.0,465.0,6.0
323.0,376.0,6.0
202.0,424.0,4.666666666666666
151.0,190.0,5.111111111111111
50.0,28.0,4.222222222222222
156.0,119.0,4.222222222222222
235.0,168.0,3.7777777777777777
325.0,13.0,3.7777777777777777
281.0,151.0,5.555555555555555
203.0,106.0,6.0
150.0,30.0,4.666666666666666
145.0,241.0,4.666666666666666
56.0,50.0,4.666666666666666
257.0,312.0,4.222222222222222
82.0,82.0,4.666666666666666
155.0,74.0,4.222222222222222
100.0,465.0,6.0
88.0,200.0,5.111111111111111
263.0,75.0,4.222222222222222
145.0,67.0,5.555555555555555
305.0,465.0,3.7777777777777777
153.0,253.0,4.222222222222222
64.0,389.0,5.111111111111111
211.0,67.0,4.222222222222222
72.0,70.0,4.666666666666666
226.0,20.0,5.111111111111111
222.0,320.0,4.222222222222222
133.0,32.0,4.222222222222222
59.0,449.0,4.222222222222222
275.0,67.0,4.666666666666666
261.0,126.0,4.666666666666666
169.0,249.0,5.111111111111111
37.0,442.0,5.111111111111111
285.0,315.0,4.666666666666666
103.0,225.0,4.222222222222222
249.0,257.0,5.555555555555555
238.0,143.0,5.111111111111111
77.0,118.0,5.111111111111111
203.0,450.0,5.111111111111111
281.0,27.0,4.222222222222222
128.0,404.0,4.666666666666666
228.0,57.0,4.222222222222222
15.0,465.0,4.222222222222222
30.0,65.0,4.222222222222222
247.0,120.0,4.666666666666666
167.0,295.0,5.111111111111111
127.0,360.0,4.666666666666666
169.0,333.0,4.222222222222222
32.0,52.0,4.222222222222222
113.0,365.0,4.666666666666666
83.0,414.0,4.222222222222222
307.0,109.0,5.111111111111111
171.0,263.0,4.222222222222222
183.0,115.0,4.666666666666666
296.0,21.0,4.666666666666666
265.0,229.0,3.7777777777777777
20.0,279.0,4.666666666666666
232.0,27.0,5.111111111111111
67.0,359.0,4.222222222222222
30.0,409.0,4.222222222222222
279.0,99.0,6.0
106.0,49.0,6.0
337.0,146.0,5.111111111111111
264.0,203.0,4.222222222222222
121.0,318.0,4.222222222222222
173.0,180.0,4.666666666666666
235.0,194.0,4.222222222222222
121.0,195.0,5.555555555555555
75.0,347.0,4.222222222222222
48.0,288.0,4.222222222222222
10.0,26.0,3.333333333333333
147.0,147.0,4.222222222222222
24.0,369.0,4.222222222222222
282.0,444.0,5.555555555555555
113.0,120.0,4.666666666666666
79.0,321.0,4.222222222222222
156.0,200.0,6.0
252.0,432.0,5.111111111111111
337.0,353.0,4.222222222222222
328.0,449.0,4.222222222222222
154.0,459.0,4.222222222222222
14.0,343.0,3.7777777777777777
311.0,136.0,6.0
114.0,50.0,6.0
24.0,244.0,4.222222222222222
210.0,214.0,4.222222222222222
13.0,267.0,4.222222222222222
248.0,412.0,4.666666666666666
128.0,15.0,4.222222222222222
118.0,225.0,3.333333333333333
230.0,82.0,4.666666666666666
133.0,187.0,4.666666666666666
321.0,354.0,5.111111111111111
36.0,138.0,3.7777777777777777
180.0,35.0,5.555555555555555
128.0,273.0,4.666666666666666
280.0,204.0,4.222222222222222
32.0,108.0,4.666666666666666
337.0,414.0,4.222222222222222
283.0,230.0,4.666666666666666
337.0,55.0,5.111111111111111
167.0,93.0,4.666666666666666
126.0,125.0,4.666666666666666
279.0,125.0,5.555555555555555
140.0,299.0,4.666666666666666
270.0,51.0,5.111111111111111
160.0,387.0,5.111111111111111
169.0,207.0,6.0
337.0,399.0,4.222222222222222
337.0,84.0,3.7777777777777777
162.0,165.0,5.111111111111111
114.0,92.0,3.7777777777777777
337.0,305.0,5.111111111111111
106.0,313.0,5.111111111111111
98.0,388.0,4.222222222222222
331.0,465.0,3.7777777777777777
129.0,390.0,4.222222222222222
232.0,250.0,4.222222222222222
318.0,199.0,4.666666666666666
159.0,273.0,4.222222222222222
287.0,340.0,6.0
184.0,371.0,5.111111111111111
38.0,152.0,4.666666666666666
275.0,458.0,5.111111111111111
229.0,152.0,4.666666666666666
227.0,307.0,4.222222222222222
278.0,465.0,6.0
67.0,267.0,3.7777777777777777
247.0,105.0,4.666666666666666
53.0,314.0,4.222222222222222
40.0,182.0,4.666666666666666
141.0,100.0,4.222222222222222
117.0,145.0,5.111111111111111
334.0,432.0,6.0
300.0,136.0,4.222222222222222
286.0,188.0,6.0
154.0,230.0,3.7777777777777777
302.0,443.0,6.0
101.0,172.0,5.111111111111111
309.0,162.0,6.0
232.0,452.0,3.7777777777777777
279.0,251.0,4.222222222222222
172.0,437.0,4.666666666666666
283.0,382.0,4.222222222222222
26.0,256.0,4.222222222222222
170.0,411.0,4.222222222222222
299.0,49.0,3.7777777777777777
31.0,96.0,4.222222222222222
39.0,266.0,4.666666666666666
337.0,38.0,5.111111111111111
12.0,221.0,3.333333333333333
294.0,188.0,4.222222222222222
158.0,16.0,3.7777777777777777
210.0,20.0,3.333333333333333
209.0,185.0,4.666666666666666
11.0,179.0,3.333333333333333
337.0,371.0,4.222222222222222
10.0,327.0,3.333333333333333
102.0,13.0,3.333333333333333
69.0,9.0,2.888888888888889
114.0,8.0,2.888888888888889
238.0,221.0,4.666666666666666
337.0,208.0,2.888888888888889
10.0,157.0,2.888888888888889
337.0,13.0,2.888888888888889
294.0,9.0,2.4444444444444446
9.0,141.0,2.4444444444444446
194.0,11.0,2.4444444444444446
56.16475916924435,245.57600530269556,3.0
42.77987185152449,222.92465753424662,3.0
24.246950950066207,200.27330976579762,3.0
37.631838267786065,362.95117101193114,3.0
11.891670349094056,367.06959787892185,3.0
34.543018117543056,382.513698630137,3.0
61.31279275298277,438.11246133451175,3.0
92.2009942554131,346.47746354396816,3.0
101.46745470614223,339.27021652673443,3.0
103.52666813963765,268.22735307114453,3.0
108.67470172337596,283.6714538223597,3.0
69.5496464869642,174.53314184710564,3.0
56.16475916924435,158.05943437914274,3.0
82.93453380468407,106.57909854175875,3.0
181.77677861246133,58.18758285461777,3.0
175.5991383119752,138.4969067609368,3.0
173.53992487847984,322.79650905877156,3.0
183.8359920459567,346.47746354396816,3.0
283.70784357048166,420.6091471498012,3.0
299.1519443216968,418.5499337163059,3.0
305.3295846221829,404.1354396818383,3.0
288.85587715422,393.83937251436146,3.0
260.026889085285,462.82302253645605,3.0
248.7012152010605,327.94454264251,3.0
304.29997790543524,312.5004418912947,3.0
309.4480114891736,339.27021652673443,3.0
313.5664383561644,321.76690234202385,3.0
326.9513256738842,316.61886875828543,3.0
322.83289880689347,340.29982324348214,3.0
283.70784357048166,111.72713212549715,3.0
291.9446973044631,111.72713212549715,3.0
286.79666372072467,137.46730004418913,3.0
263.115709235528,284.7010605391074,3.0
251.79003535130357,288.8194874060981,3.0
222.9610472823685,261.0201060539108,3.0
319.74407865665046,228.072691117985,3.0
211.635373398144,44.80269553689793,3.0
173.53992487847984,49.95072912063634,3.0
156.03661069376932,341.32942996022985,3.0
145.74054352629247,337.2110030932391,3.0
146.77015024304018,437.08285461776404,3.0
218.84262041537778,375.3064516129033,3.0
223.9906539991162,404.1354396818383,3.0
214.72419354838706,354.7143172779497,3.0
139.5629032258064,410.3130799823243,3.0
308.41840477242596,95.25342465753425,3.0
250.76042863455586,272.34577993813525,3.0
193.10245249668577,305.293194874061,3.0
59.25357931948736,200.27330976579762,3.0
39.69105170128148,332.0629695095007,3.0
24.246950950066207,307.3524083075564,3.0
28.365377817056924,179.68117543084404,3.0
312.5368316394167,298.08594785682726,3.0
267.23413610251873,5.67764030048609,3.0
236.34593460008836,128.20083959346002,3.0
